"No.","Time","Source","Destination","Protocol","Length","Info"
"186","157.890169","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=925 Ack=520 Win=5225 Len=0"
"187","158.807807","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=925 Ack=520 Win=5225 Len=26"
"188","158.850024","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=520 Ack=951 Win=63670 Len=0"
"189","158.853705","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=951 Ack=520 Win=5225 Len=2"
"190","158.855156","192.168.100.76","192.168.100.161","TCP","66","5050  >  61789 [PSH, ACK] Seq=520 Ack=953 Win=63668 Len=12"
"191","158.897267","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=953 Ack=532 Win=5213 Len=0"
"192","159.862331","192.168.100.161","192.168.100.76","TCP","55","61789  >  5050 [PSH, ACK] Seq=953 Ack=532 Win=5213 Len=1"
"193","159.904684","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=532 Ack=954 Win=63667 Len=0"
"194","159.976927","192.168.100.161","192.168.100.76","TCP","59","61789  >  5050 [PSH, ACK] Seq=954 Ack=532 Win=5213 Len=5"
"195","159.978193","192.168.100.76","192.168.100.161","TCP","66","5050  >  61789 [PSH, ACK] Seq=532 Ack=959 Win=63662 Len=12"
"196","160.179169","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=959 Ack=544 Win=5201 Len=0"
"197","161.136841","192.168.100.161","192.168.100.76","TCP","55","61789  >  5050 [PSH, ACK] Seq=959 Ack=544 Win=5201 Len=1"
"198","161.189921","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=544 Ack=960 Win=63661 Len=0"
"199","161.257140","192.168.100.161","192.168.100.76","TCP","59","61789  >  5050 [PSH, ACK] Seq=960 Ack=544 Win=5201 Len=5"
"200","161.257385","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=544 Ack=965 Win=63656 Len=14"
"201","161.393525","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=965 Ack=558 Win=5187 Len=0"
"202","162.263190","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=965 Ack=558 Win=5187 Len=25"
"203","162.307349","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=558 Ack=990 Win=63631 Len=0"
"204","162.385996","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=990 Ack=558 Win=5187 Len=2"
"205","162.386169","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=558 Ack=992 Win=63629 Len=15"
"206","162.645094","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=992 Ack=573 Win=5172 Len=0"
"207","163.486100","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=992 Ack=573 Win=5172 Len=26"
"208","163.535079","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=573 Ack=1018 Win=63603 Len=0"
"209","163.714177","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=1018 Ack=573 Win=5172 Len=2"
"210","163.714714","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=573 Ack=1020 Win=63601 Len=15"
"211","163.897500","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=1020 Ack=588 Win=5157 Len=0"
